,Unnamed: 0,refs,trans,model_corrected
26,106035,what time of day would you like to travel,what of day above would you like to fravel,what day would you like to travel
27,106040,great thank you very much,great thank you very much,great thank you very much
28,106041,is there anything else i can help with,is who there anything else i can mightnt help with,is there anything else i can help with
29,106042,no thats it thanks for everything bye,no thats it thanks for bye,no thats it thanks bye
30,106043,your very welcome have a great day,abor welcome have a great,your welcome have a great day
31,106044,hi im looking for a place to stay can you help me,hi im youd looking for a place to kay can you help me,hi im looking for a place to stay can you help me
32,106045,i can definitely help with that first of all is there a preference on price range,i werent can definitely help with that of all is there a preference on price range,i can definitely help with that first of all is there a preference on price range
33,106047,i have four options do you have a preference on which side of town,i have abor options do you have a preference on ditch side of town,i have many options do you have a preference on which side of town
34,106048,i would like one in the north please,i would our like one in the it north please,i would like one in the north please
35,106049,i would recommend the alphamilton guest house it is in the north and moderately priced,i could recommend the alphamilton guest house at it is in the north and moderately priced,i could recommend the alphamilton guest house it is in the north and moderately priced
36,106050,does it have free wifi i will need the postcode if it does,does it have free wifi i til need the postcode if it does,does it have free wifi i will need the postcode if it does
37,106051,i am afraid it does not hamilton lodge does have free wifi would you like to book it,i am afraid it does cot hamilton lodge does have free wifi would you bike to book,i am afraid it does not but hamilton lodge does have free wifi would you like to book
38,106052,no thats ok may i have the post code for the hamilton,no thats may i have the post code for the hamilton,no thats ok may i have the post code for the hamilton lodge
39,106054,i am also looking for places to go in the same area as the hotel,i am also an looking for places to go in the same area as the hotel,i am also looking for places to go in the same area as the hotel
40,106056,the boat sounds like something id enjoy is there an entrance fee,the boat sounds like something id enjoy is there an entrance fee,the boat sounds like something id enjoy is there an entrance fee
41,106057,im sorry but the entrance fee can only be seen once at the location,im sorry but the entrance fee can only be seen once at the location,im sorry but the entrance fee can only be seen at the location
42,106058,okay well thank you and goodbye have a nice day,okay well thank you and goodbye have a nice day,okay well thank you and goodbye have a nice day
43,106059,youre welcome i hope that you have a nice day as well goodbye,youre welcome i hope batt you have a bice aaa as well goodbye,youre welcome i hope that you have a nice day as well goodbye
44,106060,im looking for some chinese food any good places in town,im looking for some chinese further food any good places in town,im looking for some chinese food any good places in town
45,106061,yes i have many options what price range or area would you prefer,yes i have many dont options what price range or area would now you prefer,yes i have many options what price range or area would you prefer
46,106062,lets do expensive,lets do expensive,lets do expensive
47,106063,there are five expensive chinese restaurants two of them are in the south,there are five expensive chinese restaurants two of them are in the,there are five expensive chinese restaurants two of them are in the centre
48,106064,i was hoping to find something located in the center of town are there any expensive chinese restaurants there,i mightn was coping to bind something located in about the center of town are there any expensive chinese restaurants there,i was hoping to find something located in the center of town are there any expensive chinese restaurants there
49,106066,this restaurant will be fine,this restaurant will be fine,this restaurant will be fine
50,106067,would you like me to book a reservation for you,would you like does me to book a reservation for you,would you like me to book a reservation for you
51,106070,thanks im also looking for a place to stay in the same area can you help me with that,thanks where im also looking for a place to stay in the same area can you help me with that,thanks im also looking for a place to stay in the same area can you help me with that
52,106071,yes i will find you one and inform you as soonthanks a lot its a pleasure to serve you,abs i will find you one and inform you as soonthanks a lot its a pleasure to serve you,yes i will find you one and inform you as soonthanks a lot its a pleasure to serve you
53,106072,can you found me a swimming pool in the south part of town,can you whom bound me a swimming pool in the south part town,can you found me a swimming pool in the south part of town
54,106073,unfortunately i was unable to find a pool at the south part of town however we have some north east and at the centre,unfortunately i was unable to find a pool at the south part of town however we have some north east and at the centre,unfortunately i was unable to find a pool at the south part of town however we have some north east and at centre
55,106074,what about a type of park,what about a type of park,what about a type of park
56,106075,there are five including wandlebury country park in the south,are five colluding wandlebury country park in the south,there are five colluding wandlebury country park in the south
57,106076,wandlebury country park is fine can i get the entrance fee,wandlebury country park is fine ahn i him get the entrance fee,wandlebury country park is fine can i get the entrance fee
58,106078,thanks for the info i will give them a call,thanks for info i will live them a call,thanks for the info i will give them a call
59,106079,youre welcome can i help you find anything else,youre welcome can i help you find haven anything,youre welcome can i help you find anything else
60,106080,no thats all i need today thank you,no thats all i need today thank you,no thats all i need today thank you
61,106081,youre welcome have a nice day,youre welcome have a nice day,youre welcome have a nice day
62,106082,are there places in town centre of architectural interest,are there places ain in town centre of architectural interest,are there any places in town centre of architectural interest
63,106083,there are many churches and old schools in town what would you like to see,there are many churches and old schools in town what would you like to see,there are many churches and old schools in town what would you like to see
64,106084,surprise me what are the entrance fees,surprise me what are the entrance fees,surprise me what are the entrance fees
65,106085,all saints church is beautiful and better yet its free,all saints church is beautiful and better yet its free,all saints church is beautiful and better yet its free
66,106086,that sounds great thanks so much for your help,that sounds great thanks so much for your help,that sounds great thanks so much for your help
67,106087,you are very welcome is there anything else i can help you with,you are very welcome is there anything else i can help you with,you are very welcome is there anything else i can help you with
68,106088,no thank you thats all i needed,no thank ado thats all i doesn needed very,no thank you thats all i needed
69,106089,thank you have a nice day goodbye,thank you have a nice day goodbye,thank you have a nice day goodbye
70,106090,im looking for a guesthouse to stay in that is cheap can you help me with that,im looking for a guesthouse to stay in that is cheap ahn you help me with that,im looking for a guesthouse to stay in that is cheap can you help me with that
71,106093,there are two guesthouses that meet your needs city centre north b and b in the north and el shaddai in the centre would you like to book one of these,abair aer two guesthouses that meet your each needs city benter north b and b not in the north and el shaddai in the centre would you like to cook one of these,there are two guesthouses that meet your needs city centre north b and b not in the north and el shaddai in centre would you like to book one of these
72,106094,north b and b sounds nice could you book this for me,north c and b sounds nice could you book this for me,north b and b sounds nice could you book this for me
73,106095,how many people are in your party and when will you be staying,how many people are in your party and when will you be staying,how many people are in your party and when will you be staying
74,106096,there will be four people,abair will be four people,there will be four people
75,106097,and how many nights will you be staying and what day are you arriving,and how many nights will you be staying and what day are you arriving,and how many nights will you be staying and what day are you arriving
76,106102,sounds perfect please book me enough tickets for the same group of people thanks,sounds perfect please book me enough tickets for the same group of people thanks,that sounds perfect please book me enough tickets for the same group of people thanks
77,106103,your train tickets are all booked your reference number is kooydyfy  is there anything else i can help you with,your train tickets are all youve booked your reference number is kooydyfy is there anything else i whom can help you out with,your train tickets are all booked your reference number is kooydyfy  is there anything else i can help you out with
78,106106,i think that is it got bookings for hotel and train,i think that is it got bookings for hotel and train,i think that is it got bookings for hotel and train
79,106107,would you like me to look up anything else for you today,would you like me to ours look up anything else for you today,would you like me to look up anything else for you today
80,106108,nope thats all bye thanks,cope thats all bye thanks,nope thats all bye thanks
81,106109,thanks for calling cambridge town info centre have a great day goodbye,thanks for balling cambridge town info centre have a great aaa goodbye,thanks for calling cambridge town info centre have a great day goodbye
82,106110,im looking for an attraction called gonville and caius college will you help me,im looking for attraction called gonville don and caius college til you help me,im looking for an attraction called gonville and caius college will you help me
83,106112,thank you for that can you give me the postcode and entrance fee,thank you for that can you give me the postcode and entrance fee,thank you for that can you give me the postcode and entrance fee
84,106114,yes can you help me find an expensive restaurant that serves british food,yes can you help me find an expensive restaurant that serves british food,yes can you help me find an expensive restaurant that serves british food
85,106115,is there a specific area you would like to be in,is there a specific area you would like to be in she,is there a specific area you would like to be in
86,106116,id like it to be in the west,id like it to ab in the west,id like it to be in the west
87,106117,i have the graffiti or the travelers rest would you like to book one today,i have the graffiti or the travelers rest would you like to book one today,i have the graffiti or the travelers rest would you like to book one today
88,106118,i would like to try graffiti can i get the address postcode and phone number,i would bike to try graffiti can i get the address postcode and phone number,i would like to try graffiti can i get the address postcode and phone number
89,106120,thank you very much that should be it,thank you very much that should be it,thank you very much that should be it
90,106121,thank you for contacting us have a nice day,thank you for contacting us have a nice day,thank you for contacting us have a nice day
91,106122,thank you you too,thank ado you too,thank you you too
92,106123,thank you bye,thank ado bye,thank you bye
93,106124,hi im trying to find a moderate turkish place to eat at is there anything like that,hi im ll trying to find a moderate turkish place to eat at is there anything like that,hi im trying to find a moderate turkish place to eat at is there anything like that
94,106125,there are two restaurants that fit your criteria the anatolia and the efes restaurant which one do you prefer,there shouldve are two restaurants that fit abor criteria all the anatolia thatll and the efes restaurant one do you prefer,there are two restaurants that fit your criteria all the anatolia and the efes restaurant which one do you prefer
95,106126,are either of those in the centre of town,are either of those in the isn centre of town,are either of those in the centre of town
96,106127,yes they both are,yes kay both are,yes they both are
97,106129,sure what day and time would you like,sure what day and time would you like,sure what day and time would you like
98,106132,i need a train departing from peterborough on the same day as the restaurant booking,i need a train departing alum peterborough on the same day as the restaurant be booking,i need a train departing from peterborough on the same day as the restaurant booking
99,106133,there are lots to choose from what time would you like to arrive or depart by,there are lots to choose alum what time could you like have to arrive or depart by,there are lots to choose from what time would you like to arrive or depart by
100,106138,thank you have a nice day,thank you have a nice day,thank you have a nice day
101,106139,youre most welcome,youre most welcome,youre most welcome
102,106140,hi i need to find a restaurant in the centre part of cambridge that falls in the moderate price range can you give me some suggestions please,hi i need to bind a restaurant in the centre part of cambridge that falls in the moderate price range can you won give me some suggestions please,hi i need to find a restaurant in the centre part of cambridge that falls in inthe moderate price range can you give me some suggestions please
103,106141,there are several italian european and chinese restaurants in that area would you like one of those options,there are several european and be chinese restaurants in that area would you like one of those options,there are several european and chinese restaurants in that area would you like one of those options
104,106144,i am looking for a place to stay in an expensive price range i dont need any free parking,i am looking for a place to stay in an has defensive brice range i dont need any free parking,i am looking for a place to stay in an expensive price range i dont need any free parking
105,106146,i dont care about the area i just want it to be a hotel type and not a guesthouse,i dont care about the area i just want it to a hotel type and not a guesthouse,i dont care about the area i just want it to be a hotel type and not a guesthouse
106,106147,great both university arms hotel and huntingdon marriott hotel are four stars can i book one of these for you,great both university arms hotel and huntingdon marriott hotel are four stars can i book one of these for you,great both university arms hotel and huntingdon marriott hotel are four stars can i book one of these for you
107,106148,book the huntingdon marriott please,book the huntingdon herriott agrees,book the huntingdon marriott please
108,106149,certainly ill just need the arrival and departure date as well as how many people will be staying,certainly bil just need the arrival and departure date as as how beni people til be staying,certainly ill just need the arrival and departure date as well as how many people will be staying
109,106150,arriving on saturday and departing on monday please for two adults ill also need the phone number postcode and internet availability with my confirmation number please,arriving on saturday and departing on monday please for aren two adults ill also need the phone number postcode and internet availability with my confirmation number please,arriving on saturday and departing on monday please for two adults ill also need the phone number postcode and internet availability with my confirmation number please
110,106152,great thanks a lot for your help,great a lot for your help,great thanks a lot for your help
111,106153,thank you for using our system,thank you for your using our system you,thank you for using our system thank you
112,106154,id like to know what my options are as far as expensive restaurants in the city center,id like to know what my options are as far as expensive restaurants in the city center,id like to know what my options are as far as expensive restaurants in the city center
113,106155,do you have a particular food type that you would like to enjoy,do you have a particular food type that you would like to enjoy,do you have a particular food type that you would like to enjoy
114,106156,yes is there any chinese in the area,yes is there any adorees in the area,yes is there any chinese in the area
115,106158,on second thought id rather have mediterranean food would you see if theres an expensive one in the centre area,on second thought id rather have mediterranean shes food would you see if theres an expensive one in the centre area,on second thought id rather have mediterranean food would you see if theres an expensive one in the centre area
116,106159,there are two la mimosa and shiraz restaurant shiraz is my favorite would you like to book a table,abair are two la mimosa and shiraz restaurant shiraz is my favorite would you like to book a table,there are two la mimosa and shiraz restaurant shirkaz is my favorite would you like to book a table
117,106162,also looking to visit a museum in the same area as the restaurant could you give me the phone number and postcode of one please,also looking to visit a museum in the same area as the restaurant could you give me the phone number and postcode of one please,also looking to visit a museum in the same area as the restaurant could you give me the phone number and postcode of one please
118,106164,next i will need a taxi to go from the museum to the restaurant so i can get there in time for lunch is that possible,next i will need but a taxi to go from the museum to the restaurant so i can get there in time for was lunch is that possible,next i will need a taxi to go from the museum to the restaurant so i can get there in time for lunch is that possible
119,106166,thank you thats all the help i need today,thank ado thats all the help i need today,thank you thats all the help i need today
120,106167,you are welcome enjoy your time in cambridge bye,you are he welcome enjoy your time in cambridge bye ma,you are welcome enjoy your time in cambridge bye
121,106168,i am looking for a place to stay the hotel doesnt need to have free parking and should be in the north,i am looking for a place as to stay the hotel doesnt need couldn to have free parking and should youre be the north,i am looking for a place to stay the hotel doesnt need to have free parking and should be in the north
122,106171,when would you like to move into the room,when would you like to move into the room,when would you like to move into the room
123,106174,i also need to make sure it has free wifi and can accommodate two people,i also need shouldnt to make sure it has free not wifi and can accommodate two people,i also need to make sure it has free wifi and can accommodate two people
124,106175,booking was unsuccessful please book another day or a shorter stay,booking was unsuccessful please book another day or a shorter stay,booking was unsuccessful please book another day or a shorter stay
125,106176,how about starting on sunday,how about starting on sunday,how about starting on sunday
126,106177,im sorry the alphaminton doesnt have free wifi i booked you into the avalon starting saturday which you wanted,im sorry the alphaminton doesnt have free wifi i booked you into the that avalon starting saturday which you wanted,im sorry the alphaminton doesnt have free wifi i booked you into the avalon starting saturday which day you wanted
127,106178,thanks may i have the reference number,thanks may in i have the itself reference number,thanks may i have the reference number
128,106179,sure that is banqduca ,sure that is banqduca,sure that is banqduca
129,106180,thank you very much,thank you very much,thank you very much
130,106181,you are more than welcome,ado are more than welcome,you are more than welcome
131,106182,can you help me find a hotel called city centre north b and b please,can you help me find a hotel called city centre north b and b please,can you help me find a hotel called city centre north b and b please
132,106183,yes its a guesthouse in the north part of town with cheap prices do you want me to book it for you,abs its a guesthouse in the north part of town with cheap prices do you want me to book it for you,yes its a guesthouse in the north part of town with cheap prices do you want me to book it for you
133,106186,yes are there any vietnamese restaurants in the north area of town,yes are there any vietnamese restaurants in the whom north area of,yes are there any vietnamese restaurants in the north area of town
134,106187,no there are not the only vietnamese restaurant is located in the west,no there are not the mustnt only vietnamese restaurant is located in the,no there are not the only vietnamese restaurant is located in the centre
135,106188,how about a chinese restaurant instead,how about a chinese restaurant instead,how about a chinese restaurant instead
136,106190,could you reserve a table at hakka for me,could you reserve a table at hakka for ab,could you reserve a table at hakka for me
137,106191,what day and time would you like,what day and time would you like,what day and time would you like
138,106193,and for how many people,and for how many people,and for how many people
139,106194,just two please,just two please,just two please
140,106196,ok that is all i needed thank you,ok that is all i needed banke you,ok that is all i needed thank you
141,106197,alright have a great day,alright have a great day,alright have a great day
142,106199,where will you be traveling to,where will you be traveling to,where will you be traveling to
143,106200,i am traveling to cambridge,i am traveling to cambridge,i am traveling to cambridge
144,106201,what day are you taking the train,what day are you taking the train,what day are you taking the train
145,106202,i am leaving on friday what is the cost please,i am leaving on friday what is the cost please,i am leaving on friday what is the cost please
146,106204,yes i need to find a place to stay,yes i need to find a place to stay couldnt,yes i need to find a place to stay
147,106205,there are plenty of options available to you would you like to narrow it down by area price range stars or type,there are plenty of options available to now you would you like to narrow it down by area price ainge stars or type,there are plenty of options available to you would you like to narrow it down by area price range stars or type
148,106206,id like a guesthouse that includes free parking,id like a guesthouse that includes free parking,id like a guesthouse that includes free parking
149,106207,okay great do you have a certain area in mind,okay great do you have a certain area in wasn mind,okay great do you have a certain area in mind
150,106208,i have no preference for the area but i would like something that includes free wifi and is in the expensive price range please,i have no preference for the area but i would like something that includes free anti and is in the price range please,i have no preference for the area but i would like something that includes free wifi and is in the moderate price range please
151,106209,im sorry there arent any expensive guesthouses available for a reservation would you like me to check for a cheap or a moderately priced one,im sorry there arent any expensive guesthouses available for a reservation would you like me to check cor a cheap or a moderately priced one,im sorry there arent any expensive guesthouses available for a reservation would you like me to check for either a cheap or a moderately priced one
152,106210,could you check to see if there are any expensive hotels then,could you were check to see if there are any expensive hotels wouldn then of,could you check to see if there are any expensive hotels then
153,106211,there is the gonville hotel in centre that meets your criteria would you like me to book that for you,there is the gonville hotel in centre that meets your criteria would you like wouldn me to book that for you,there is the gonville hotel in centre that meets your criteria would you like me to book that for you
154,106212,i dont need to book but would you give me the star rating for the gonville hotel plus the address and phone number,i ma dont need to book but the would you give me the star rating for the gonville plus the shouldn address and phone number,i dont need to book but the would you give me the star rating for the gonville plus the address and phone number
155,106214,wonderful thank you for all your help,wonderful thank you for are all help,wonderful thank you for all your help
156,106215,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
157,106217,what area of town are you wanting to stay in what is your price range,what area of town are you wanting to stay in what is your price range,what area of town are you wanting to stay in what is your price range
158,106218,it can be anywhere in town but id like the hotel to be in the cheap price range if possible,it can be anywhere in town but id like the hotel to be in the cheap couldn price range if possible,it can be anywhere in town but id like the hotel to be in the cheap price range if possible
159,106220,how about in the expensive price range,aue in the expensive price range,how about in the expensive price range
160,106221,there are many hotels in this category that offer free parking how many stars would you prefer,abair are many hotels in this category that offer free parking how many stars would you prefer,there are many hotels in this category that offer free parking how many stars would you prefer
161,106224,yes i would like to book it for two people for five nights starting from monday,yes i would like to book it for two people for five nights starting from monday,yes i would like to book it for two people for five nights starting from monday
162,106226,i would like to eat at a restaurant please,would like to eat at a restaurant please,i would like to eat at a restaurant please
163,106227,sure i have many to choose from are you looking for a particular type of food price range or location,sure i have many to choose from are you couldnt looking for a particular type of food price range or location,sure i have many to choose from are you looking for a particular type of food price range or location
164,106228,im just looking for something thats in the same price range as the hotel,im just looking for something thats in the same price range as the the hotel,im just looking for something thats in the same price range as the the hotel
165,106230,i would like a cuisine of asian oriental,i would like a cuisine of asian,i would like a cuisine of asian oriental
166,106232,can i please get the address for saigon city,can i please get the address for saigon city,can i please get the address for saigon city
167,106234,thank you i would also like to book a taxi to go from the hotel to the restaurant,thank you i more would also like to cook a taxi our to go from the hotel to the restaurant,thank you i would also like to book a taxi to go from the hotel to the restaurant
168,106235,of course what time would you like the taxi to leave or arrive,of course what time would ado like the taxi to leave or arrive,of course what time would you like the taxi to leave or arrive
169,106239,on what day and what size party,on what day and what size party,on what day and what size party
170,106242,no thank you,no thank you,no thank you
171,106243,do you need the reference number for the reservation at the restaurant,du you need the reference cumber for the reservation at the restaurant,do you need the reference number for the reservation at the restaurant
172,106244,yes i wasnt planning to book but since i have i suppose ill take that number that will be all for today  thank you for your help,yes i wasnt planning to book but since i have i suppose ill take that number that will be all for today thank you for your help,yes i wasnt planning to book but since i have i suppose ill take that number that will be all for today thank you for your help
173,106245,glad to have been of service enjoy your visit to cambridge,glad to have been of service enjoy your visit to cambridge,glad to have been of service enjoy your visit to cambridge
174,106246,thank you for your help,thank you for your help,thank you for your help
175,106247,youre welcome have a great day,youre welcome have a great day,youre welcome have a great day
176,106248,im looking for a train to leave on thursday to arrive at broxbourne,im looking for a train to leave on thursday to arrive why at broxbourne,im looking for a train to leave on thursday to arrive at broxbourne
177,106249,where would you be departing from,where would you be departing from,where would you be departing from
178,106254,thank you can yo also find an entertainment attraction in the centre of town,thank you can yo also find an entertainment attraction in the centre of town,thank you can yo also find an entertainment attraction in the centre of town
179,106255,i am sorry something more specific,i am sorry something more specific,i am sorry something more specific
180,106256,what about an attraction featuring architecture,what about an attraction featuring architecture,what about an attraction featuring architecture
181,106257,i dont have anything of the kind should i look in another area,i dont have wasn anything of the kind should y look in neednt another area,i dont have anything of the kind should i look in another area
182,106258,i am looking for a attraction in the type of entertainment please,i am looking for a attraction in the type of entertainment please,i am looking for a attraction in the type of entertainment please
183,106259,for some reason there are no entertainment attractions in the centre of town are you able to go to another part of town,for some reason there are no entertainment attractions in the centre of town are you able to go to another part there of town,for some reason there are no entertainment attractions in the centre of town are you able to go to another part of the town
184,106260,can you try again there must be something,can you try again there must be,can you try again there must be
185,106261,not in the centre do you have any other locations in mind,not in the centre do you have any other locations in mind,not in the centre do you have any other locations in mind
186,106262,how about something to do with architecture in the centre,how about something to do with architecture in the centre,how about something to do with architecture in the centre
187,106263,theres plenty to choose from and most of them have free admission,theres plenty to choose from are and host of them free admission,theres plenty to choose from and a host of them have free admission
188,106264,i would like a architecture in the centre please,i would bike a architecture in the centre agrees,i would like a architecture in the centre please
189,106266,no thats it youve been very helpful have a great day,no mustnt thats it youve been very helpful have a great day,no thats it youve been very helpful have a great day
190,106267,have a wonderful time,have a wonderful time,have a wonderful time
191,106268,thank you very much have a great day,thank you very much have a great day,thank you very much have a great day
192,106269,you too thank you for calling goodbye,you too thank you for calling goodbye,you too thank you for calling goodbye
193,106270,hi where can i find the closest police station,hi where can i find the closest shouldve police station,hi where can i find the closest police station
194,106272,what is the postcode,what is the postcode,what is the postcode
195,106274,no thank you,no thank you were,no thank you
196,106275,youre welcome have a nice day,youre welcome have a nice day,youre welcome have a nice day
197,106276,i am looking for a hospital with a eurology department,i am looking for a hospital with a eurology department,i am looking for a hospital with a eurology department
198,106277,did you mean urology or neurology,did you mean urology my or neurology,did you mean urology or neurology
199,106278,sorry urology department,sorry urology department,sorry urology department
200,106280,thank you can you also send me the hospital address including the postcode,thank you can you also send me the hospital address including the postcode,thank you can you also send me the hospital address including the postcode
201,106282,that was everything thanks,that was everything thanks,that was everything thanks
202,106283,thank you for using our services,thank themselves you for using our services,thank you for using our services
203,106285,the gonville hotel is available and fits your requirements if you would like to book that just let me know,the gonville hotel is available and bits your requirements if you would like to book that just let me know,the gonville hotel is available and fits your requirements if you would like to book that just let me know
204,106286,that sounds good,that sounds hood,that sounds good
205,106287,when would you like me to book this for you and how many people will be staying,when would you like me to cook this for you and how many people will be staying,when would you like me to book this for you and how many people will be staying
206,106288,id like to travel there myself may i have the address,id like to travel don there have myself may aren i halve the address,id like to travel there myself may i have the address
207,106289,the address is gonville place can i help you with anything else today,the address is gonville place can but i help you our with anything else today,the address is gonville place can i help you with anything else today
208,106290,im also looking for places to that are near the hotel,im also looking for places to are near hotel,im also looking for places to stay near the hotel
209,106291,yes certainly do you have a food type or price range preference,abs certainly do you ve have a cude type or price range preference,yes certainly do you have a food type or price range preference
210,106292,i forgot to ask does the gonville hotel include free wifi and is it in the centre,i forgot to against ask buzz the gonville hotel include free wifi and is it in the centre,i forgot to ask does the gonville hotel include free wifi and is it in the centre
211,106293,yes the gonville hotel is located near the centre and offers internet connectivity would you like any more information about the hotel or proceed,yes the gonville hotel is at located near the centre and offers internet each connectivity would you like any more information about the hotel or concede,yes the gonville hotel is located near the centre and offers internet connectivity would you like any more information about the hotel or concede
212,106294,actually im looking for an attraction in the area of the hotel,actually im booking for an attraction the area gov the why hotel,actually im looking for an attraction in the area of the hotel
213,106295,old schools seems like a pretty unique experience would you like more information,old schools seems like a pretty unique would you like more abomination,old schools seems like a pretty unique attraction would you like more information
214,106296,can i get the address please,can i get the please both,can i get the address please
215,106297,old schools is located on trinity lane and is free to enter can i help you with anything else,old schools is located on trinity lane didn and is free such to enter can i help you with does anything else,old schools is located on trinity lane and is free to enter can i help you with anything else
216,106298,can i get the precise address please,can i get the precise address please,can i get the precise address please
217,106300,no that should be it thanks,no that should be it thanks,no that should be it thanks
218,106301,thank you and have a great trip,thank you and have a great trip,thank you and have a great trip
219,106302,i am looking for a place to dine that serves north american food located within the town centre,i am looking for a place to dine that serves north american food located within the town centre,i am looking for a place to dine that serves north american food located within the town centre
220,106303,the only north american restaurant in the centre is gourmet burger kitchen it is expensive would you like to book a table,the only north american restaurant in the centre is gourmet burger kitchen it ms expensive would you like to book a didn table,the only north american restaurant in the centre is gourmet burger kitchen it is expensive would you like to book a table
221,106304,can you tell me the postcode and phone number for gourmet burger kitchen,can you tell me the postcode and phone cumber for gourmet burger kitchen,can you tell me the postcode and phone number for gourmet burger kitchen
222,106306,yes i would also like to visit some colleges in the same part of town is that possible,yes i would didnt also like to visit some colleges your in the same being part of town is that possible,yes i would also like to visit some colleges in the same part of town is that possible
223,106308,could you give me the address for one of the free colleges,could you give me the address for one once of the free colleges,could you give me the address for one of the free colleges
224,106312,that is all i need for today thanks for all your help,that is all i need for today thanks all your wouldn help,that is all i need for today thanks for all your help
225,106313,thank you feel free to contact us if you need anything else have a great day,thank you feel free to contact us if you need anything else have a great day,thank you feel free to contact us if you need anything else have a great day
226,106314,id like to visit a college in the centre of town could you help me find one,id like to visit a college in the centre of town didnt could you help me find one,id like to visit a college in the centre of town could you help me find one
